X,Y,status,ts
-81.524179,35.91727,Closed,2020-05-01T15:00:00Z
-92.377414,34.824743,Closed,2020-05-01T15:00:00Z
-79.856143,34.280854,Closed,2020-05-01T15:00:00Z
-89.113637,30.358319,Closed,2020-05-01T15:00:00Z
-97.116601,32.706686,Closed,2020-05-01T15:00:00Z
-96.919885,32.80941,Closed,2020-05-01T15:00:00Z
-82.0491,33.512783,Closed,2020-05-01T15:00:00Z
-84.53423241,39.33963566,Closed,2020-05-01T15:00:00Z
-92.128413,34.868706,Closed,2020-05-01T15:00:00Z
-96.62427,32.768343,Closed,2020-05-01T15:00:00Z
-88.9532,30.393385,Closed,2020-05-01T15:00:00Z
-80.03945,32.79142,Closed,2020-05-01T15:00:00Z
-89.33646,31.349147,Closed,2020-05-01T15:00:00Z
-95.249496,29.653034,Closed,2020-05-01T15:00:00Z
-79.84329264,36.04204765,Closed,2020-05-01T15:00:00Z
-84.885188,35.190895,Closed,2020-05-01T15:00:00Z
-88.089,30.63512,Closed,2020-05-01T15:00:00Z
-95.126758,29.53119,Closed,2020-05-01T15:00:00Z
-80.063365,36.110784,Closed,2020-05-01T15:00:00Z
-86.6018946,36.17257256,Closed,2020-05-01T15:00:00Z
-87.478445,36.837536,Closed,2020-05-01T15:00:00Z
-86.421091,36.939011,Closed,2020-05-01T15:00:00Z
-87.27663,30.405855,Closed,2020-05-01T15:00:00Z
-84.76405,34.204793,Closed,2020-05-01T15:00:00Z
-80.155038,26.186843,Closed,2020-05-01T15:00:00Z
-90.012628,38.67765,Closed,2020-05-01T15:00:00Z
-92.439432,35.11065,Closed,2020-05-01T15:00:00Z
-85.31797613,35.08402824,Closed,2020-05-01T15:00:00Z
-81.107962,34.003666,Closed,2020-05-01T15:00:00Z
-112.112866,33.640482,Closed,2020-05-01T15:00:00Z
-86.97323832,34.56890903,Closed,2020-05-01T15:00:00Z
-94.130878,30.096615,Closed,2020-05-01T15:00:00Z
-94.54915,39.174405,Closed,2020-05-01T15:00:00Z
-86.582426,30.439984,Closed,2020-05-01T15:00:00Z
-110.9948429,32.25044571,Closed,2020-05-01T15:00:00Z
-84.576589,33.544171,Closed,2020-05-01T15:00:00Z
-84.32654,34.02299,Closed,2020-05-01T15:00:00Z
-97.476926,35.464685,Closed,2020-05-01T15:00:00Z
-84.008243,35.937906,Closed,2020-05-01T15:00:00Z
-84.34351,33.83075,Closed,2020-05-01T15:00:00Z
-88.828974,35.666728,Closed,2020-05-01T15:00:00Z
-84.43565229,39.26976282,Closed,2020-05-01T15:00:00Z
-85.95804,39.296634,Closed,2020-05-01T15:00:00Z
-84.22771,33.75026,Closed,2020-05-01T15:00:00Z
-77.62761,36.429993,Closed,2020-05-01T15:00:00Z
-111.9665807,33.37816459,Closed,2020-05-01T15:00:00Z
-81.459197,28.484577,Closed,2020-05-01T15:00:00Z
-84.60698,33.77964,Closed,2020-05-01T15:00:00Z
-97.08511,32.83716,Closed,2020-05-01T15:00:00Z
-82.318,34.775839,Closed,2020-05-01T15:00:00Z
-83.66344,32.87427,Closed,2020-05-01T15:00:00Z
-88.126032,30.70421,Closed,2020-05-01T15:00:00Z
-86.62576,34.734674,Closed,2020-05-01T15:00:00Z
-79.795922,34.227265,Closed,2020-05-01T15:00:00Z
-88.126713,30.64916,Closed,2020-05-01T15:00:00Z
-80.95093,33.97152,Closed,2020-05-01T15:00:00Z
-89.09256,30.42727,Closed,2020-05-01T15:00:00Z
-80.02683,32.901371,Closed,2020-05-01T15:00:00Z
-86.702433,33.533234,Closed,2020-05-01T15:00:00Z
-97.21757,32.83159,Closed,2020-05-01T15:00:00Z
-85.83374,38.202281,Closed,2020-05-01T15:00:00Z
-84.41219,33.57632,Closed,2020-05-01T15:00:00Z
-96.594581,32.839767,Closed,2020-05-01T15:00:00Z
-90.3446,38.730259,Closed,2020-05-01T15:00:00Z
-97.46698,32.73853,Closed,2020-05-01T15:00:00Z
-87.266513,33.847422,Closed,2020-05-01T15:00:00Z
-89.863046,35.167757,Closed,2020-05-01T15:00:00Z
-86.90143255,36.12992486,Closed,2020-05-01T15:00:00Z
-81.701798,30.188023,Closed,2020-05-01T15:00:00Z
-83.47341,33.55182,Closed,2020-05-01T15:00:00Z
-88.17079,30.574723,Closed,2020-05-01T15:00:00Z
-83.311831,30.820299,Closed,2020-05-01T15:00:00Z
-85.828709,38.283882,Closed,2020-05-01T15:00:00Z
-77.520164,37.611384,Closed,2020-05-01T15:00:00Z
-78.746824,35.762565,Closed,2020-05-01T15:00:00Z
-80.383055,36.03369,Closed,2020-05-01T15:00:00Z
-85.71787688,38.17956559,Closed,2020-05-01T15:00:00Z
-81.40369034,28.43688472,Closed,2020-05-01T15:00:00Z
-80.98996529,34.97133012,Closed,2020-05-01T15:00:00Z
-96.90121,32.93853,Closed,2020-05-01T15:00:00Z
-82.529624,35.587985,Closed,2020-05-01T15:00:00Z
-82.46225,35.58431,Closed,2020-05-01T15:00:00Z
-82.07695,33.46803,Closed,2020-05-01T15:00:00Z
-84.45144,33.46143,Closed,2020-05-01T15:00:00Z
-81.652129,28.236822,Closed,2020-05-01T15:00:00Z
-78.9562,35.0788,Closed,2020-05-01T15:00:00Z
-87.91244,30.64903,Closed,2020-05-01T15:00:00Z
-94.72304416,32.44847339,Closed,2020-05-01T15:00:00Z
-97.42167,32.80991,Closed,2020-05-01T15:00:00Z
-84.192583,39.819443,Closed,2020-05-01T15:00:00Z
-81.475253,28.551839,Closed,2020-05-01T15:00:00Z
-87.0497,30.61957,Closed,2020-05-01T15:00:00Z
-78.69024,35.794068,Closed,2020-05-01T15:00:00Z
-93.700877,32.527665,Closed,2020-05-01T15:00:00Z
-90.12317814,38.76213975,Closed,2020-05-01T15:00:00Z
-97.26184,32.75964,Closed,2020-05-01T15:00:00Z
-84.220317,39.688512,Closed,2020-05-01T15:00:00Z
-85.28068,35.018188,Closed,2020-05-01T15:00:00Z
-82.680965,30.180372,Closed,2020-05-01T15:00:00Z
-91.245301,30.450089,Closed,2020-05-01T15:00:00Z
-82.927819,40.08062,Closed,2020-05-01T15:00:00Z
-90.701269,38.80325,Closed,2020-05-01T15:00:00Z
-86.25026,39.72756,Closed,2020-05-01T15:00:00Z
-87.261722,30.492999,Closed,2020-05-01T15:00:00Z
-84.101281,39.86576,Closed,2020-05-01T15:00:00Z
-85.936942,37.838962,Closed,2020-05-01T15:00:00Z
-81.12961534,29.33456624,Closed,2020-05-01T15:00:00Z
-81.14047,34.068152,Closed,2020-05-01T15:00:00Z
-85.227637,35.012846,Closed,2020-05-01T15:00:00Z
-93.070856,34.180166,Closed,2020-05-01T15:00:00Z
-83.09781631,39.97128472,Closed,2020-05-01T15:00:00Z
-85.77536,39.546701,Closed,2020-05-01T15:00:00Z
-86.80603,33.41043,Open,2020-05-01T15:00:00Z
-85.426276,31.248273,Closed,2020-05-01T15:00:00Z
-84.07997019,40.75616566,Closed,2020-05-01T15:00:00Z
-84.1848819,40.2879801,Closed,2020-05-01T15:00:00Z
-93.82744927,32.45971929,Closed,2020-05-01T15:00:00Z
-79.96624,32.78114,Closed,2020-05-01T15:00:00Z
-84.35208,33.81713,Closed,2020-05-01T15:00:00Z
-81.39032366,28.66513598,Closed,2020-05-01T15:00:00Z
-84.24934,33.828778,Closed,2020-05-01T15:00:00Z
-86.00944,39.79683,Closed,2020-05-01T15:00:00Z
-84.58034,34.033839,Closed,2020-05-01T15:00:00Z
-86.081395,39.614173,Closed,2020-05-01T15:00:00Z
-84.490592,33.845166,Closed,2020-05-01T15:00:00Z
-84.34,33.58117,Closed,2020-05-01T15:00:00Z
-82.712449,34.576249,Closed,2020-05-01T15:00:00Z
-88.890574,30.394334,Closed,2020-05-01T15:00:00Z
-110.980824,32.206583,Closed,2020-05-01T15:00:00Z
-86.096866,39.665401,Closed,2020-05-01T15:00:00Z
-81.52422269,28.33311878,Closed,2020-05-01T15:00:00Z
-77.42258481,37.40176073,Closed,2020-05-01T15:00:00Z
-92.59014,34.574836,Closed,2020-05-01T15:00:00Z
-94.192108,36.054204,Closed,2020-05-01T15:00:00Z
-85.65416,40.05449,Closed,2020-05-01T15:00:00Z
-82.41716,34.79274,Closed,2020-05-01T15:00:00Z
-85.706572,37.988883,Closed,2020-05-01T15:00:00Z
-84.147356,35.907575,Closed,2020-05-01T15:00:00Z
-83.84391202,36.00946423,Closed,2020-05-01T15:00:00Z
-81.077213,33.934584,Closed,2020-05-01T15:00:00Z
-80.92004,35.240125,Closed,2020-05-01T15:00:00Z
-86.597645,35.998654,Closed,2020-05-01T15:00:00Z
-81.333911,35.227203,Closed,2020-05-01T15:00:00Z
-88.52718,30.43786,Closed,2020-05-01T15:00:00Z
-82.502207,33.50993,Closed,2020-05-01T15:00:00Z
-88.84127,30.450843,Closed,2020-05-01T15:00:00Z
-86.864052,34.114829,Closed,2020-05-01T15:00:00Z
-86.70114,36.324565,Closed,2020-05-01T15:00:00Z
-86.7618,36.0849,Closed,2020-05-01T15:00:00Z
-80.848534,28.552636,Closed,2020-05-01T15:00:00Z
-81.859866,34.504859,Closed,2020-05-01T15:00:00Z
-81.654875,30.429249,Closed,2020-05-01T15:00:00Z
-84.4945,33.96344,Closed,2020-05-01T15:00:00Z
-112.341283,33.455472,Closed,2020-05-01T15:00:00Z
-86.826866,35.914613,Closed,2020-05-01T15:00:00Z
-86.7791585,36.2066757,Closed,2020-05-01T15:00:00Z
-92.393485,34.754629,Closed,2020-05-01T15:00:00Z
-84.314007,33.841317,Closed,2020-05-01T15:00:00Z
-87.339946,36.023206,Closed,2020-05-01T15:00:00Z
-84.50922,33.9297,Closed,2020-05-01T15:00:00Z
-82.832022,39.926109,Closed,2020-05-01T15:00:00Z
-88.85456612,35.66045864,Closed,2020-05-01T15:00:00Z
-77.817884,36.062261,Closed,2020-05-01T15:00:00Z
-80.922364,35.112918,Closed,2020-05-01T15:00:00Z
-84.52059,39.087178,Closed,2020-05-01T15:00:00Z
-82.234141,28.52345,Closed,2020-05-01T15:00:00Z
-84.27858,35.827095,Closed,2020-05-01T15:00:00Z
-94.47895,37.050057,Closed,2020-05-01T15:00:00Z
-82.159785,29.025713,Closed,2020-05-01T15:00:00Z
-81.49862314,28.33300267,Closed,2020-05-01T15:00:00Z
-92.419605,35.091804,Closed,2020-05-01T15:00:00Z
-86.857175,36.151022,Closed,2020-05-01T15:00:00Z
-85.79183,38.684831,Closed,2020-05-01T15:00:00Z
-90.434464,38.75981,Closed,2020-05-01T15:00:00Z
-89.999726,34.990941,Closed,2020-05-01T15:00:00Z
-105.004798,40.582275,Closed,2020-05-01T15:00:00Z
-82.007248,26.896023,Closed,2020-05-01T15:00:00Z
-93.761643,30.122556,Closed,2020-05-01T15:00:00Z
-82.25775,34.858318,Closed,2020-05-01T15:00:00Z
-86.431364,35.8482,Closed,2020-05-01T15:00:00Z
-81.05732,36.947705,Closed,2020-05-01T15:00:00Z
-82.022799,34.990629,Closed,2020-05-01T15:00:00Z
-101.921164,35.188777,Closed,2020-05-01T15:00:00Z
-82.51079,29.801471,Closed,2020-05-01T15:00:00Z
-81.983575,30.283154,Closed,2020-05-01T15:00:00Z
-83.68466,32.899308,Closed,2020-05-01T15:00:00Z
-82.382993,29.618134,Closed,2020-05-01T15:00:00Z
-92.66748,37.650954,Closed,2020-05-01T15:00:00Z
-91.06450798,30.38389503,Closed,2020-05-01T15:00:00Z
-82.04006,33.51167,Closed,2020-05-01T15:00:00Z
-106.499324,35.068546,Closed,2020-05-01T15:00:00Z
-82.090187,28.872046,Closed,2020-05-01T15:00:00Z
-84.208891,33.961043,Closed,2020-05-01T15:00:00Z
-84.34933,33.98155,Closed,2020-05-01T15:00:00Z
-84.29180851,39.5420688,Closed,2020-05-01T15:00:00Z
-84.473625,33.619247,Closed,2020-05-01T15:00:00Z
-85.12478,34.912602,Closed,2020-05-01T15:00:00Z
-85.15872,35.04262,Closed,2020-05-01T15:00:00Z
-81.081457,29.176646,Closed,2020-05-01T15:00:00Z
-86.95460557,36.08065529,Closed,2020-05-01T15:00:00Z
-84.122937,33.353706,Closed,2020-05-01T15:00:00Z
-86.27083533,32.36404542,Closed,2020-05-01T15:00:00Z
-84.80157285,39.25908041,Closed,2020-05-01T15:00:00Z
-81.75236,26.330816,Closed,2020-05-01T15:00:00Z
-82.477224,27.493102,Closed,2020-05-01T15:00:00Z
-82.35611,28.005352,Closed,2020-05-01T15:00:00Z
-96.617771,32.334194,Closed,2020-05-01T15:00:00Z
-85.82463,37.716112,Closed,2020-05-01T15:00:00Z
-83.842565,33.617076,Closed,2020-05-01T15:00:00Z
-84.20969,38.007229,Closed,2020-05-01T15:00:00Z
-84.51508,33.58558,Closed,2020-05-01T15:00:00Z
-86.216701,32.359604,Closed,2020-05-01T15:00:00Z
-84.65309,34.076061,Closed,2020-05-01T15:00:00Z
-80.82609,33.555433,Closed,2020-05-01T15:00:00Z
-84.1181,33.6991,Closed,2020-05-01T15:00:00Z
-86.686115,36.153582,Closed,2020-05-01T15:00:00Z
-87.205707,30.417023,Closed,2020-05-01T15:00:00Z
-78.846366,38.433917,Closed,2020-05-01T15:00:00Z
-81.49602084,30.06507888,Closed,2020-05-01T15:00:00Z
